2026-03-09 07:19:20 | test | 1,1
2026-03-09 07:20:56 | test | 1,1
2026-03-09 07:23:31 | alarm | 52.401253,30.923096
2026-03-09 07:41:27 | alarm | no_coords
2026-03-09 08:15:31 | alarm | no_coords
2026-03-09 08:16:27 | alarm | no_coords
2026-03-09 08:17:16 | alarm | 52.401417,30.922834
2026-03-09 09:13:21 | alarm | no_coords
2026-03-09 09:17:03 | alarm | no_coords
2026-03-09 09:22:34 | alarm | no_coords
2026-03-09 09:28:29 | alarm | no_coords
2026-03-09 09:29:30 | alarm | 52.401600,30.923018
2026-03-09 09:35:12 | alarm | no_coords
2026-03-09 10:26:45 | alarm | no_coords
2026-03-09 10:31:07 | alarm | no_coords
2026-03-09 10:35:23 | alarm | 52.401562,30.922977
2026-03-09 10:37:44 | alarm | 52.401630,30.922966
2026-03-09 10:41:01 | alarm | 52.401546,30.922850
2026-03-09 13:06:59 | alarm | no_coords
2026-03-09 13:18:00 | alarm | 52.401512,30.922779
2026-03-09 13:47:50 | alarm | 52.401768,30.922752
2026-03-10 12:21:27 | alarm | no_coords
2026-03-10 12:28:28 | alarm | 52.401962,30.923208
2026-03-10 16:30:39 | alarm | 52.401474,30.923090
2026-03-10 16:42:20 | alarm | 52.402054,30.923056
2026-03-10 16:48:43 | alarm | unknown | 52.402100,30.922976
2026-03-10 16:53:02 | alarm | GYROSCOPE | 52.401863,30.922939
2026-03-10 22:52:35 | alarm | MIC GYRO | no_coords
2026-03-10 22:53:31 | alarm | MICROPHONE | no_coords
2026-03-10 23:45:38 | alarm | unknown | no_coords
2026-03-10 23:48:55 | alarm | GYRO MIC | 52.401093,30.923180
2026-03-11 00:01:27 | alarm | MIC GYRO | 52.401337,30.922222
2026-03-11 00:02:57 | alarm | MIC GYRO | 52.401337,30.922222
2026-03-11 00:09:29 | alarm | unknown | no_coords
2026-03-11 00:12:02 | alarm | unknown | no_coords
2026-03-11 00:17:29 | alarm | MIC GYRO | 52.401897,30.922953
2026-03-12 10:28:00 | alarm | MICROPHONE | 52.401390,30.922869
2026-03-12 10:45:19 | alarm | MIC GYRO | no_coords
2026-03-12 10:47:28 | alarm | MICROPHONE | 52.401169,30.923079
2026-03-12 10:51:15 | alarm | GYROSCOPE | 52.401237,30.923174
2026-03-12 10:54:29 | alarm | MICROPHONE | 52.401276,30.922995
2026-03-12 10:57:43 | alarm | GYROSCOPE | 52.401329,30.923136
2026-03-12 11:01:12 | alarm | GYRO MIC | 52.401054,30.923159
2026-03-12 11:02:24 | alarm | MICROPHONE | 52.401054,30.923159
2026-03-12 11:03:39 | alarm | MICROPHONE | 52.401054,30.923159
2026-03-12 11:12:12 | alarm | GYROSCOPE | 52.401253,30.923229
2026-03-12 14:01:18 | alarm | unknown | no_coords
2026-03-12 14:26:05 | alarm | unknown | no_coords
2026-03-12 14:36:05 | alarm | unknown | no_coords
2026-03-12 14:39:11 | alarm | GYROSCOPE | no_coords
2026-03-12 15:16:45 | alarm | GYROSCOPE | 52.401325,30.922832
2026-03-12 15:48:53 | alarm | GYROSCOPE | no_coords
2026-03-12 15:49:49 | alarm | GYROSCOPE | no_coords
2026-03-12 15:52:44 | alarm | GYROSCOPE | 52.401474,30.923172
2026-03-12 15:54:12 | alarm | GYROSCOPE | 52.401695,30.922991
2026-03-12 15:58:14 | alarm | GYROSCOPE | 52.401577,30.923088
2026-03-12 16:01:56 | alarm | GYROSCOPE | 52.401962,30.922701
2026-03-12 16:05:46 | alarm | GYROSCOPE | 52.401497,30.923306
2026-03-12 16:21:15 | alarm | GYROSCOPE | 52.399475,30.925018
2026-03-12 16:26:55 | alarm | GYROSCOPE | 52.401615,30.923122
2026-03-12 17:04:13 | alarm | GYROSCOPE | 52.401150,30.923321
2026-03-12 17:11:11 | alarm | GYROSCOPE | 52.401035,30.923428
2026-03-12 18:22:45 | alarm | GYROSCOPE | 52.401196,30.922529
2026-03-12 18:25:27 | alarm | GYROSCOPE | no_coords
2026-03-12 19:44:00 | alarm | GYROSCOPE | 52.401352,30.923136
2026-03-12 19:45:22 | alarm | GYROSCOPE | 52.401184,30.923216
2026-03-12 20:10:53 | alarm | GYROSCOPE | no_coords
2026-03-12 20:13:22 | alarm | GYROSCOPE | 52.401352,30.923220
2026-03-12 20:17:09 | alarm | GYROSCOPE | 52.401245,30.923494
2026-03-12 20:18:36 | alarm | GYROSCOPE | 52.401245,30.923494
2026-03-12 20:24:42 | alarm | GYROSCOPE | 52.401382,30.921749
2026-03-12 20:36:32 | alarm | MICROPHONE | 52.401222,30.922674
2026-03-12 20:51:57 | alarm | MICROPHONE | 52.401505,30.922106
2026-03-12 20:54:22 | alarm | MICROPHONE | 52.401043,30.920963
2026-03-12 20:57:24 | alarm | MICROPHONE | 52.401279,30.922621
2026-03-12 21:03:36 | alarm | MICROPHONE | no_coords
2026-03-12 21:05:38 | alarm | MICROPHONE | no_coords
2026-03-12 21:07:13 | alarm | MICROPHONE | no_coords
2026-03-12 21:08:55 | alarm | MICROPHONE | no_coords
2026-03-12 21:11:43 | alarm | MICROPHONE | 52.401131,30.923334
2026-03-12 21:13:38 | alarm | GYROSCOPE | 52.401047,30.923460
2026-03-12 21:14:48 | alarm | MICROPHONE | 52.401192,30.922546
2026-03-12 21:17:52 | alarm | unknown | no_coords
2026-03-12 21:20:14 | alarm | GYROSCOPE | 52.401066,30.923231
2026-03-12 21:23:57 | alarm | GYROSCOPE | 52.401173,30.922817
2026-03-12 21:26:44 | alarm | GYRO MIC | no_coords
2026-03-12 21:28:01 | alarm | MICROPHONE | 52.401157,30.923069
2026-03-12 21:34:28 | alarm | MICROPHONE | 52.401134,30.923285
